# Q3-TTS User Dictionary (American English Edition)
# Format: Word,Read
# Lines starting with # are comments.

# === Tech Terms ===
AI,ay eye
Anormaly,anomaly
Anomaly,anomaly
DeVIEW,dee view
ML,em ell
DL,dee ell
IoT,eye oh tee
TTS,tee tee ess
NLP,en ell pee
LLM,ell ell em

# === PC & Hardware Terms ===
CPU,see pee you
GPU,jee pee you
SSD,ess ess dee
HDD,aitch dee dee
USB,you ess bee
HDMI,aitch dee em eye
OS,oh ess
API,ay pee eye
SDK,ess dee kay
CLI,see ell eye
GUI,gooey
NVMe,en vee em ee
PCIe,pee see eye ee
DDR,dee dee ar
RGB,ar jee bee
VPN,vee pee en
DNS,dee en ess
TCP,tee see pee
UDP,you dee pee
HTTP,aitch tee tee pee
HTTPS,aitch tee tee pee ess
URL,you ar ell
IP,eye pee
HTML,aitch tee em ell
CSS,see ess ess
JSON,jay son
XML,ex em ell
SQL,ess queue ell
SaaS,sass
IaaS,eye ass
PaaS,pass

# === Industrial & Engineering ===
PLC,pee ell see
HMI,aitch em eye
DCS,dee see ess
I/O,eye oh
OPC,oh pee see
VFD,vee eff dee
AC,ay see
DC,dee see
PROFINET,proffy net
EtherCAT,eether cat
PROFIBUS,proffy bus
MODBUS,mod bus
BACnet,back net
MQTT,em queue tee tee
OPC-UA,oh pee see you ay
CNC,see en see
CAD,cad
CAM,cam
PID,pee eye dee
RTU,ar tee you
MTU,em tee you
SCARA,scarra
MES,em ee ess
ERP,ee ar pee

# === Brands & Names ===
NVIDIA,en vid e uh
Intel,in tel
AMD,ay em dee
Microsoft,my crow soft
Apple,ap pull
Google,goo gull
Amazon,am uh zahn
Meta,met uh
OpenAI,open ay eye
OMRON,om ron
Siemens,see mens
Mitsubishi,mitsubishi
Rockwell,rock well
Fanuc,fan uck
ABB,ay bee bee
Schneider,shn eye der
Keyence,key ence
Beckhoff,beck hoff
